player,gp,gs,dnp,min,mpg,pts,ppg,ppm,ast,apg,apm,to,topg,topm,ast:to,reb,rpg,rpm,oreb,dreb,stl,spg,spm,blk,bpg,bpm,pf,pfpg,pfpm,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,ftp
Azurá Steven,10,0,4,96,9.6,117,11.7,1.219,11,1.1,0.115,7,0.7,0.073,1.571,72,7.2,0.75,17,55,7,0.7,0.073,5,0.5,0.052,18,1.8,0.188,49,100,49.0,6,34,17.647,8,12,66.667,13
Napheesa Collier,14,14,0,261,18.643,360,25.714,1.379,39,2.786,0.149,18,1.286,0.069,2.167,148,10.571,0.567,24,124,28,2.0,0.107,19,1.357,0.073,48,3.429,0.184,146,238,61.345,17,52,32.692,32,40,80.0,51
Courtney Vandersloot,14,4,0,158,11.286,140,10.0,0.886,44,3.143,0.278,17,1.214,0.108,2.588,42,3.0,0.266,7,35,7,0.5,0.044,5,0.357,0.032,25,1.786,0.158,57,122,46.721,10,31,32.258,9,11,81.818,16
Alyssa Thoma,8,8,5,143,17.875,90,11.25,0.629,36,4.5,0.252,19,2.375,0.133,1.895,92,11.5,0.643,26,66,8,1.0,0.056,2,0.25,0.014,17,2.125,0.119,41,79,51.899,0,0,0,4,11,36.364,8
Angel Reese,14,14,0,217,15.5,186,13.286,0.857,26,1.857,0.12,33,2.357,0.152,0.788,170,12.143,0.783,51,119,10,0.714,0.046,8,0.571,0.037,55,3.929,0.253,69,147,46.939,2,8,25.0,25,34,73.529,46
Rhyne Howard,13,11,0,250,19.231,267,20.538,1.068,29,2.231,0.116,20,1.538,0.08,1.45,72,5.538,0.288,14,58,17,1.308,0.068,11,0.846,0.044,43,3.308,0.172,88,224,39.286,46,122,37.705,23,27,85.185,45
Cameron Brink,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breanna Stewart,14,14,0,235,16.786,268,19.143,1.14,44,3.143,0.187,21,1.5,0.089,2.095,154,11.0,0.655,13,141,17,1.214,0.072,12,0.857,0.051,27,1.929,0.115,98,225,43.556,8,43,18.605,37,47,78.723,64
Arike Ogunbowale,8,7,5,98,12.25,80,10.0,0.816,27,3.375,0.276,8,1.0,0.082,3.375,21,2.625,0.214,1,20,6,0.75,0.061,2,0.25,0.02,17,2.125,0.173,33,94,35.106,9,36,25.0,3,4,75.0,5
Aaliyah Edward,14,0,0,126,9.0,107,7.643,0.849,16,1.143,0.127,21,1.5,0.167,0.762,74,5.286,0.587,14,60,7,0.5,0.056,8,0.571,0.063,30,2.143,0.238,45,79,56.962,1,1,100.0,8,17,47.059,16
